Property  ID,market value,Main area,Garage,Land size,Year
6309,735026.00,3192,1063,10000,2015
6310,663907.00,3226,1078,10463,2017
6311,569992.00,3036,965,10000,2013
6312,602427.00,3277,909,10625,2015
6313,460288.00,2241,506,7785,2018
6314,968766.00,4188,985,13788,2021
6315,550199.00,2582,942,7749,2020
6316,709604.00,3147,875,11663,2021
6317,580969.00,2910,550,7749,2020
6318,480134.00,2842,970,8206,2020
6319,467935.00,2382,520,7749,2020
6320,610318.00,2925,957,9821,2021
6321,538409.00,2773,592,7546,2021
6322,1218146.00,4582,1067,17505,2022
6323,534991.00,2806,552,8057,2018
6324,645249.00,3219,792,12611,2021
6325,511115.00,2636,528,7749,2018
6326,594432.00,2962,528,7795,2020
6327,498357.00,2527,506,7749,2018
6328,491374.00,2444,550,7785,2018
6329,511166.00,2652,506,7587,2018
6330,418286.00,2252,506,7792,2018
6331,580180.00,2902,917,7714,2019
6332,570962.00,2743,1119,7636,2018
6333,537870.00,2809,529,7872,2019
6334,469010.00,2279,479,7778,2019
6335,610407.00,3532,528,7872,2019
6336,525573.00,2697,575,7944,2018
6337,521957.00,2628,550,7572,2020
6338,418286.00,2252,506,7792,2018
6339,555046.00,2696,914,7872,2019
6340,469131.00,2291,552,7958,2019
6341,538374.00,2768,528,7872,2019
6342,532125.00,2745,487,7966,2019
6343,556802.00,2927,996,7872,2019
6344,504815.00,2610,525,7973,2019
6345,531620.00,2758,528,7872,2018
6346,573558.00,2851,918,7980,2019
6347,434345.00,2417,484,7501,2018
6348,531703.00,2743,484,7988,2019
6349,514098.00,2593,528,8309,2018
6350,498815.00,2514,550,7635,2018
